REGIAO,1872,1890,1900,1920,1940,1950,1960,1970,1980,1991,2000,2010
Norte,332847,476370,695112,1439052,1627608,2048696,2930005,4188313,6767249,10257266,12893561,15864454
Nordeste,4638560,6002047,6749507,11245921,14434080,17973413,22428873,28675110,35419156,42470225,47693253,53081950
Sudeste,4016922,6104384,7824011,13654934,18345831,22548494,31062978,40331969,52580527,62660700,72297351,80364410
Sul,721337,1430715,1796495,3537167,5735305,7840870,11892107,16683551,19380126,22117026,25089783,27386891
Centro-Oeste,220812,320399,373309,758531,1093491,1532924,2678380,4629640,7003515,9412242,11616745,14058094
